"com.jerry.spottimett - Android-versio: Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin) ajalta 2019-07-08 - 2020-04-25"
,,Muuttuja,"Kaikkien käyttäjien osto- ja muu toiminta (Kaikki tapahtumat, Aikaväliä kohti, Päivittäin)",Muistiinpanot
,,Ulottuvuus,Kaikki Android-versiot
Kausi,Päivämäärä
2019-07-08 - 2020-04-25,2019-09-28,,12
2019-07-08 - 2020-04-25,2019-09-29,,5
2019-07-08 - 2020-04-25,2019-09-30,,5,Julkaisun käyttöönotto - 3.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-10-01,,1,Julkaisun käyttöönotto - 3.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-10-02,,2
2019-07-08 - 2020-04-25,2019-10-03,,-
2019-07-08 - 2020-04-25,2019-10-04,,4
2019-07-08 - 2020-04-25,2019-10-05,,7
2019-07-08 - 2020-04-25,2019-10-06,,4
2019-07-08 - 2020-04-25,2019-10-07,,1
2019-07-08 - 2020-04-25,2019-10-08,,3
2019-07-08 - 2020-04-25,2019-10-09,,2
2019-07-08 - 2020-04-25,2019-10-10,,4
2019-07-08 - 2020-04-25,2019-10-11,,3
2019-07-08 - 2020-04-25,2019-10-12,,3
2019-07-08 - 2020-04-25,2019-10-13,,1
2019-07-08 - 2020-04-25,2019-10-14,,2
2019-07-08 - 2020-04-25,2019-10-15,,3
2019-07-08 - 2020-04-25,2019-10-16,,7
2019-07-08 - 2020-04-25,2019-10-17,,2
2019-07-08 - 2020-04-25,2019-10-18,,3
2019-07-08 - 2020-04-25,2019-10-19,,6
2019-07-08 - 2020-04-25,2019-10-20,,3
2019-07-08 - 2020-04-25,2019-10-21,,-
2019-07-08 - 2020-04-25,2019-10-22,,3
2019-07-08 - 2020-04-25,2019-10-23,,1
2019-07-08 - 2020-04-25,2019-10-24,,2
2019-07-08 - 2020-04-25,2019-10-25,,5
2019-07-08 - 2020-04-25,2019-10-26,,1
2019-07-08 - 2020-04-25,2019-10-27,,5
2019-07-08 - 2020-04-25,2019-10-28,,3
2019-07-08 - 2020-04-25,2019-10-29,,-
2019-07-08 - 2020-04-25,2019-10-30,,-
2019-07-08 - 2020-04-25,2019-10-31,,1
2019-07-08 - 2020-04-25,2019-11-01,,4
2019-07-08 - 2020-04-25,2019-11-02,,1
2019-07-08 - 2020-04-25,2019-11-03,,5
2019-07-08 - 2020-04-25,2019-11-04,,2
2019-07-08 - 2020-04-25,2019-11-05,,-
2019-07-08 - 2020-04-25,2019-11-06,,2
2019-07-08 - 2020-04-25,2019-11-07,,-
2019-07-08 - 2020-04-25,2019-11-08,,-
2019-07-08 - 2020-04-25,2019-11-09,,2
2019-07-08 - 2020-04-25,2019-11-10,,3,Julkaisun käyttöönotto - 3.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-11-11,,1
2019-07-08 - 2020-04-25,2019-11-12,,3
2019-07-08 - 2020-04-25,2019-11-13,,-
2019-07-08 - 2020-04-25,2019-11-14,,-
2019-07-08 - 2020-04-25,2019-11-15,,-
2019-07-08 - 2020-04-25,2019-11-16,,1,Julkaisun käyttöönotto - 4.1 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-11-17,,5
2019-07-08 - 2020-04-25,2019-11-18,,1,Julkaisun käyttöönotto - 4.2 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-11-19,,-
2019-07-08 - 2020-04-25,2019-11-20,,1
2019-07-08 - 2020-04-25,2019-11-21,,2
2019-07-08 - 2020-04-25,2019-11-22,,-
2019-07-08 - 2020-04-25,2019-11-23,,1
2019-07-08 - 2020-04-25,2019-11-24,,3
2019-07-08 - 2020-04-25,2019-11-25,,3
2019-07-08 - 2020-04-25,2019-11-26,,1
2019-07-08 - 2020-04-25,2019-11-27,,1
2019-07-08 - 2020-04-25,2019-11-28,,-
2019-07-08 - 2020-04-25,2019-11-29,,1
2019-07-08 - 2020-04-25,2019-11-30,,2
2019-07-08 - 2020-04-25,2019-12-01,,-
2019-07-08 - 2020-04-25,2019-12-02,,-
2019-07-08 - 2020-04-25,2019-12-03,,-
2019-07-08 - 2020-04-25,2019-12-04,,1,Julkaisun käyttöönotto - 4.3 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-05,,3
2019-07-08 - 2020-04-25,2019-12-06,,2
2019-07-08 - 2020-04-25,2019-12-07,,2,Julkaisun käyttöönotto - 4.4 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-08,,2,"Julkaisun käyttöönotto - 4.5 otettiin käyttöön käyttöasteella 100%., Julkaisun käyttöönotto - 4.6 otettiin käyttöön käyttöasteella 100%."
2019-07-08 - 2020-04-25,2019-12-09,,1
2019-07-08 - 2020-04-25,2019-12-10,,-
2019-07-08 - 2020-04-25,2019-12-11,,1,Julkaisun käyttöönotto - 4.7 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-12,,-
2019-07-08 - 2020-04-25,2019-12-13,,5
2019-07-08 - 2020-04-25,2019-12-14,,1,Julkaisun käyttöönotto - 4.8 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-15,,1
2019-07-08 - 2020-04-25,2019-12-16,,2
2019-07-08 - 2020-04-25,2019-12-17,,1,Julkaisun käyttöönotto - 4.9 otettiin käyttöön käyttöasteella 100%.
2019-07-08 - 2020-04-25,2019-12-18,,1
2019-07-08 - 2020-04-25,2019-12-19,,-
2019-07-08 - 2020-04-25,2019-12-20,,1
